window_idx,user,activity,start_time,end_time,periodicity,temporal_stability,coordination
0,7,Jogging,135.75,138.75,0.0,0.5,0.5
1,7,Jogging,191.25,194.25,1.0,1.0,0.0
2,7,Jogging,322.5,325.5,1.0,1.0,0.0
3,7,Jogging,116.25,119.25,1.0,1.0,0.0
4,7,Walking,3.0,6.0,0.0,1.0,0.56
5,7,Walking,697.5,700.5,0.0,1.0,0.0
6,7,Walking,558.75,561.75,0.5,0.0,1.0
7,7,Walking,655.5,658.5,0.5,0.0,0.95
8,7,Upstairs,216.75,219.75,0.5,0.43,0.5
9,7,Upstairs,138.0,141.0,0.5,0.5,0.5
10,7,Upstairs,333.75,336.75,0.5,1.0,0.0
11,7,Upstairs,130.5,133.5,0.0,1.0,0.0
12,7,Downstairs,126.0,129.0,1.0,0.0,0.0
13,7,Downstairs,23.25,26.25,1.0,0.5,0.0
14,7,Downstairs,119.25,122.25,1.0,0.5,0.0
15,7,Downstairs,134.25,137.25,0.5,0.5,0.0
16,7,Standing,93.0,96.0,1.0,1.0,0.5
17,7,Standing,77.25,80.25,1.0,0.0,0.5
18,7,Standing,71.25,74.25,1.0,1.0,0.5
19,7,Standing,41.25,44.25,0.0,0.5,1.0
20,7,Sitting,0.0,3.0,0.0,0.5,1.0
21,7,Sitting,49.5,52.5,0.0,0.5,1.0
22,7,Sitting,69.75,72.75,0.5,0.5,1.0
23,7,Sitting,66.0,69.0,0.0,1.0,1.0
24,7,Sitting,105.75,108.75,0.0,1.0,1.0
