window_idx,user,activity,start_time,end_time,periodicity,temporal_stability,coordination
0,3,Walking,170.25,173.25,0.5,0.0,0.5
1,3,Walking,156.0,159.0,0.5,0.0,0.5
2,3,Walking,123.0,126.0,0.5,0.5,0.5
3,3,Walking,207.75,210.75,0.5,0.0,0.5
4,3,Jogging,80.25,83.25,1.0,1.0,1.0
5,3,Jogging,173.25,176.25,1.0,0.5,0.5
6,3,Jogging,83.25,86.25,1.0,0.5,0.5
7,3,Jogging,127.5,130.5,1.0,1.0,0.5
8,3,Sitting,47.25,50.25,0.0,1.0,1.0
9,3,Sitting,70.5,73.5,0.0,1.0,1.0
10,3,Sitting,39.0,42.0,0.0,1.0,1.0
11,3,Sitting,66.0,69.0,0.0,1.0,1.0
12,3,Standing,12.0,15.0,0.0,1.0,1.0
13,3,Standing,117.0,120.0,0.0,1.0,0.5
14,3,Standing,4.5,7.5,0.0,1.0,0.5
15,3,Standing,105.75,108.75,0.0,1.0,0.5
16,3,Upstairs,29.25,32.25,0.5,0.5,0.5
17,3,Upstairs,445.5,448.5,0.5,1.0,1.0
18,3,Upstairs,482.25,485.25,0.5,0.0,0.5
19,3,Upstairs,149.25,152.25,1.0,0.0,1.0
20,3,Downstairs,138.75,141.75,0.5,0.0,1.0
21,3,Downstairs,484.5,487.5,0.5,0.0,0.5
22,3,Downstairs,150.75,153.75,0.4,0.0,0.5
23,3,Downstairs,271.5,274.5,0.0,0.0,0.5
24,3,Walking,168.75,171.75,0.5,0.0,0.5
0,5,Walking,60.75,63.75,0.5,0.0,0.5
1,5,Walking,601.5,604.5,0.5,0.5,0.5
2,5,Walking,6.0,9.0,0.5,0.5,0.5
3,5,Walking,180.75,183.75,0.0,0.5,0.5
4,5,Jogging,216.75,219.75,0.5,0.0,0.0
5,5,Jogging,179.25,182.25,0.5,0.0,0.5
6,5,Jogging,249.75,252.75,1.0,0.0,0.5
7,5,Jogging,107.25,110.25,1.0,0.0,0.5
8,5,Upstairs,39.75,42.75,0.5,0.0,0.5
9,5,Upstairs,230.25,233.25,0.0,0.5,0.5
10,5,Upstairs,239.25,242.25,0.0,0.0,0.5
11,5,Upstairs,240.0,243.0,0.5,0.0,0.5
12,5,Downstairs,219.75,222.75,0.0,0.0,0.5
13,5,Downstairs,228.0,231.0,0.0,0.0,0.5
14,5,Downstairs,185.25,188.25,0.0,0.5,1.0
15,5,Downstairs,191.25,194.25,0.5,0.0,0.5
16,5,Sitting,65.25,68.25,0.0,0.5,1.0
