window_idx,user,activity,start_time,end_time,periodicity,temporal_stability,coordination
0,3,Walking,957.75,960.75,1.0,0.5,0.5
1,3,Walking,42.0,45.0,1.0,0.5,0.5
2,3,Walking,871.5,874.5,0.5,0.5,0.5
3,3,Walking,63.0,66.0,1.0,0.5,0.5
4,3,Jogging,117.75,120.75,1.0,0.5,0.5
5,3,Jogging,993.75,996.75,1.0,0.5,0.5
6,3,Jogging,941.25,944.25,1.0,0.5,0.5
7,3,Jogging,3.0,6.0,1.0,1.0,1.0
8,3,Sitting,11.25,14.25,0.0,1.0,1.0
9,3,Sitting,39.75,42.75,0.0,1.0,1.0
10,3,Sitting,0.75,3.75,0.0,1.0,1.0
11,3,Sitting,60.0,63.0,0.0,1.0,1.0
12,3,Standing,105.75,108.75,0.0,1.0,1.0
13,3,Standing,69.75,72.75,0.0,0.5,1.0
14,3,Standing,111.0,114.0,0.0,1.0,1.0
15,3,Standing,1.5,4.5,0.0,0.5,1.0
16,3,Upstairs,37.5,40.5,0.5,0.5,0.5
17,3,Upstairs,303.0,306.0,0.0,0.5,0.5
18,3,Upstairs,15.0,18.0,0.0,0.5,0.5
19,3,Upstairs,26.25,29.25,0.0,0.5,0.5
20,3,Downstairs,33.0,36.0,0.5,1.0,1.0
21,3,Downstairs,295.5,298.5,0.5,0.5,0.5
22,3,Downstairs,167.25,170.25,0.0,0.5,1.0
23,3,Downstairs,9.75,12.75,0.0,0.5,0.5
24,3,Jogging,118.5,121.5,1.0,0.5,0.5
